Time,Nation,Age,Gender,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11
3/15/2024 10:32:58,Chinese,24,Female,4,4,riskyfund,5,Op1.2,Op2.2,OpA1,OpA2,OpB3,OpB4,40
3/15/2024 11:02:28,Albanian,25,Female,4,3,riskyfund,3,Op1.2,Op2.2,OpA1,OpA2,OpB3,OpB4,51
3/15/2024 11:07:23,Albanian,21,Female,3,1,safefund,5,Op1.3,Op2.3,OpA1,OpB2,OpB3,OpB4,70
3/15/2024 11:18:55,Albanian,21,Female,5,4,safefund,4,Op1.3,Op2.2,OpA1,OpA2,OpB3,OpB4,55
3/15/2024 11:21:44,Albanian,22,Female,3,3,riskyfund,3,Op1.3,Op2.2,OpA1,OpA2,OpB3,OpB4,75
3/15/2024 11:25:02,Albanian,21,Female,5,1,riskyfund,3,Op1.1,Op2.2,OpA1,OpA2,OpB3,OpB4,50
3/15/2024 11:30:28,Albanian,27,Female,5,2,safefund,4,Op1.2,Op2.3,OpB1,OpB2,OpB3,OpB4,50
3/15/2024 11:38:14,Albanian,22,Female,1,1,safefund,4,Op1.1,Op2.1,OpB1,OpB2,OpB3,OpB4,99
3/15/2024 11:38:52,Albanian,20,Female,4,4,riskyfund,5,Op1.3,Op2.3,OpA1,OpA2,OpA3,OpA4,1 - 50 (50 numbers)
3/15/2024 11:44:31,Albanian,38,Female,3,3,riskyfund,4,Op1.1,Op2.2,OpB1,OpB2,OpB3,OpB4,10
3/15/2024 11:57:12,Albanian,32,Female,5,3,riskyfund,1,Op1.3,Op2.3,OpB1,OpB2,OpB3,OpB4,6
3/15/2024 12:12:29,Albanian,22,Male,5,2,riskyfund,4,Op1.3,Op2.1,OpA1,OpA2,OpA3,OpB4,"17,55,30,32,31,86,87,44,35,26,8,53,62,71 (14 numbers)"
3/15/2024 12:13:49,Albanian,29,Female,5,2,riskyfund,3,Op1.3,Op2.3,OpB1,OpB2,OpB3,OpA4,99
