Time;Nation;Age;Gender;Q01;Q02;Q03;Q04;Q05;Q06;Q07.1;Q07.2;Q07.3;Q07.4;Q07;Q08.1;Q08;
3.15.2024 10:32:58;Chinese;24;Female;4;4;riskyfund;5;Op1.2;Op2.2;0;0;1;1;3;40;2.00;
3.15.2024 11:02:28;Albanian;25;Female;4;3;riskyfund;3;Op1.2;Op2.2;0;0;1;1;3;51;2.55;
3.15.2024 11:07:23;Albanian;21;Female;3;1;safefund;5;Op1.3;Op2.3;0;1;1;1;4;70;3.50;
3.15.2024 11:18:55;Albanian;21;Female;5;4;safefund;4;Op1.3;Op2.2;0;0;1;1;3;55;2.75;
3.15.2024 11:21:44;Albanian;22;Female;3;3;riskyfund;3;Op1.3;Op2.2;0;0;1;1;3;75;3.75;
3.15.2024 11:25:02;Albanian;21;Female;5;1;riskyfund;3;Op1.1;Op2.2;0;0;1;1;3;50;2.50;
3.15.2024 11:30:28;Albanian;27;Female;5;2;safefund;4;Op1.2;Op2.3;1;1;1;1;5;50;2.50;
3.15.2024 11:38:14;Albanian;22;Female;1;1;safefund;4;Op1.1;Op2.1;1;1;1;1;5;99;4.95;
3.15.2024 11:38:52;Albanian;20;Female;4;4;riskyfund;5;Op1.3;Op2.3;0;0;0;0;1;50;2.50;
3.15.2024 11:44:31;Albanian;38;Female;3;3;riskyfund;4;Op1.1;Op2.2;1;1;1;1;5;10;0.50;
3.15.2024 11:57:12;Albanian;32;Female;5;3;riskyfund;1;Op1.3;Op2.3;1;1;1;1;5;6;0.30;
3.15.2024 12:12:29;Albanian;22;Male;5;2;riskyfund;4;Op1.3;Op2.1;0;0;0;1;2;14;0.70;
3.15.2024 12:13:49;Albanian;29;Female;5;2;riskyfund;3;Op1.3;Op2.3;1;1;1;0;4;99;4.95;
3.15.2024 13:15:06;Albanian;21;Male;3;4;riskyfund;5;Op1.2;Op2.3;0;0;1;1;3;50;2.50;
3.15.2024 13:16:11;Chinese;26;Female;3;1;safefund;4;Op1.2;Op2.2;0;0;0;0;1;6;0.30;
3.15.2024 13:16:30;Indian;43;Female;1;5;riskyfund;3;Op1.1;Op2.3;1;0;1;1;4;50;2.50;
3.15.2024 13:18:14;Indian;22;Female;5;3;safefund;3;Op1.3;Op2.2;1;1;0;1;4;10;0.50;
3.15.2024 13:20:02;Indian;24;Female;3;3;safefund;4;Op1.2;Op2.2;0;0;0;0;1;10;0.50;
3.15.2024 13:23:33;Indian;24;Female;4;1;safefund;1;Op1.3;Op2.3;0;0;0;0;1;NA;NA;
3.15.2024 13:25:13;Albanian;21;Male;1;3;riskyfund;4;Op1.3;Op2.3;0;0;1;1;3;99;4.95;
3.15.2024 13:26:32;Indian;49;Female;5;4;riskyfund;1;Op1.2;Op2.2;1;0;0;0;2;99;4.95;
3.15.2024 13:36:34;Albanian;29;Female;5;1;riskyfund;4;Op1.2;Op2.3;0;1;0;1;3;31;1.55;
3.15.2024 13:37:22;Indian;74;Male;1;1;safefund;4;Op1.2;Op2.3;0;0;0;1;2;1;0.05;
3.15.2024 13:42:19;Indian;35;Female;3;4;riskyfund;5;Op1.2;Op2.1;0;1;1;0;3;99;4.95;
3.15.2024 13:51:03;Indian;22;Female;1;3;safefund;1;Op1.1;Op2.3;1;1;1;0;4;49;2.45;
